year_kyrBP	geologic_carbon_rate_PgCyr	geologic_carbon_cumulative_PgC	alk_to_dic_ratio	terrestrial_carbon_uptake_rate_PgCyr	terrestrial_carbon_uptake_cumulative_PgC	terrestrial_carbon_release_rate_PgCyr	terrestrial_carbon_release_cumulative_PgC	atmospheric_CO2_ppm	atmospheric_∆14C_permil	intNP_∆14C_permil	deep_atlantic_CO3_umolkg	deep_indian_CO3_umolkg	deep_south_pacific_CO3_umolkg	deep_north_pacific_CO3_umolkg
20.0	0	0	0	0	0	0	0	187.948	365.085	15.9048	107.636	92.0964	89.5112	88.8986
19.9	0	0	0	0	0	0	0	187.948	364.222	15.7588	107.636	92.0964	89.5112	88.8986
19.8	0	0	0	0	0	0	0	187.948	363.638	15.6176	107.636	92.0964	89.5112	88.8986
19.7	0	0	0	0	0	0	0	187.948	363.429	15.4963	107.636	92.0964	89.5112	88.8986
19.6	0	0	0	0	0	0	0	187.948	363.507	15.4101	107.636	92.0964	89.5112	88.8986
19.5	0	0	0	0	0	0	0	187.948	361.776	15.3344	107.636	92.0964	89.5112	88.8986
19.4	0	0	0	0	0	0	0	187.948	358.969	15.1783	107.636	92.0964	89.5112	88.8986
19.3	0	0	0	0	0	0	0	187.948	356.401	14.9169	107.636	92.0964	89.5112	88.8986
19.2	0	0	0	0	0	0	0	187.948	353.856	14.5704	107.636	92.0964	89.5112	88.8986
19.1	0	0	0	0	0	0	0	187.948	353.032	14.1716	107.636	92.0964	89.5112	88.8986
19.0	0	0	0	0	0	0	0	187.948	353.243	13.8067	107.636	92.0964	89.5112	88.8986
18.9	0	0	0	0	0	0	0	187.948	351.625	13.4738	107.636	92.0964	89.5112	88.8986
18.8	0	0	0	0	0	0	0	187.948	348.984	13.0782	107.636	92.0964	89.5112	88.8986
18.7	0	0	0	0	0	0	0	187.948	347.18	12.6065	107.636	92.0964	89.5112	88.8986
18.6	0	0	0	0	0	0	0	187.948	345.791	12.1058	107.636	92.0964	89.5112	88.8986
18.5	0	0	0	0	0	0	0	187.948	344.457	11.5902	107.636	92.0964	89.5112	88.8986
18.4	0	0	0	0	0	0	0	187.948	343.18	11.0617	107.636	92.0964	89.5112	88.8986
18.3	0	0	0	0	0	0	0	187.948	340.131	10.4934	107.636	92.0964	89.5112	88.8986
18.2	0	0	0	0	0	0	0	187.948	335.986	9.80124	107.636	92.0964	89.5112	88.8986
18.1	0	0	0	0	0	0	0	187.948	332.483	8.97082	107.636	92.0964	89.5112	88.8986
